code_insee,pop,nom,nom_court,nom_tres_court
43019,72,Barges,Barges,Barges
43020,4209,Bas-en-Basset,Bas-en-Basset,Bas-en-Basset
43021,941,Beaulieu,Beaulieu,Beaulieu
43022,280,Beaumont,Beaumont,Beaumont
43023,218,Beaune-sur-Arzon,Beaune-sur-A.,Beaune
43024,809,Beaux,Beaux,Beaux
43025,2822,Beauzac,Beauzac,Beauzac
43026,478,Bellevue-la-Montagne,Bellevue-la-M.,Bellevue
43027,62,Berbezit,Berbezit,Berbezit
43028,419,Bessamorel,Bessamorel,Bessamorel
43029,139,La Besseyre-Saint-Mary,La Besseyre-St-M.,La Besseyre
43030,322,Blanzac,Blanzac,Blanzac
43031,156,Blassac,Blassac,Blassac
43032,1632,Blavozy,Blavozy,Blavozy
43033,655,Blesle,Blesle,Blesle
43034,293,Boisset,Boisset,Boisset
43035,87,Bonneval,Bonneval,Bonneval
43036,435,Borne,Borne,Borne
43037,253,Le Bouchet-Saint-Nicolas,Le Bouchet-St-N.,Le Bouchet
43038,1031,Bournoncle-Saint-Pierre,Bournoncle-St-P.,Bournoncle
43039,605,Le Brignon,Le Brignon,Le Brignon
43040,7032,Brioude,Brioude,Brioude
43041,4446,Brives-Charensac,Brives-C.,Brives
43042,721,Cayres,Cayres,Cayres
43043,472,Céaux-d'Allègre,Céaux-d'A.,Céaux
43044,199,Cerzat,Cerzat,Cerzat
43045,418,Ceyssac,Ceyssac,Ceyssac
43046,2755,Chadrac,Chadrac,Chadrac
43047,269,Chadron,Chadron,Chadron
43048,794,La Chaise-Dieu,La Chaise-D.,La Chaise
43049,476,Chamalières-sur-Loire,Chamalières-sur-L.,Chamalières
43050,91,Chambezon,Chambezon,Chambezon
43051,2849,Le Chambon-sur-Lignon,Le Chambon-sur-L.,Le Chambon
43052,242,Champagnac-le-Vieux,Champagnac-le-V.,Champagnac
43053,211,Champclause,Champclause,Champclause
43054,214,Chanaleilles,Chanaleilles,Chanaleilles
43055,173,Chaniat,Chaniat,Chaniat
43056,430,Chanteuges,Chanteuges,Chanteuges
43057,59,La Chapelle-Bertin,La Chapelle-B.,La Chapelle
43058,917,La Chapelle-d'Aurec,La Chapelle-d'A.,La Chapelle
43059,140,La Chapelle-Geneste,La Chapelle-G.,La Chapelle
43060,98,Charraix,Charraix,Charraix
43061,746,Chaspinhac,Chaspinhac,Chaspinhac
43062,705,Chaspuzac,Chaspuzac,Chaspuzac
43063,190,Chassagnes,Chassagnes,Chassagnes
43064,82,Chassignolles,Chassignolles,Chassignolles
43065,150,Chastel,Chastel,Chastel
43066,102,Chaudeyrolles,Chaudeyrolles,Chaudeyrolles
43067,296,Chavaniac-Lafayette,Chavaniac-L.,Chavaniac
43068,37,Chazelles,Chazelles,Chazelles
43069,309,Chenereilles,Chenereilles,Chenereilles
43070,208,Chilhac,Chilhac,Chilhac
43071,499,Chomelix,Chomelix,Chomelix
43072,141,La Chomette,La Chomette,La Chomette
43073,142,Cistrières,Cistrières,Cistrières
43074,856,Cohade,Cohade,Cohade
43075,87,Collat,Collat,Collat
43076,139,Connangles,Connangles,Connangles
43077,631,Costaros,Costaros,Costaros
